"Element","Item","Average","R_origin","R_recipients"
"Area harvested","Cabbages","63551.3333333333","Mediterranean_SouthandEast","Africa_East"
"Area harvested","Artichokes","5","Mediterranean_SouthandEast","Africa_East"
"Area harvested","Mustard_seed","4809","Mediterranean_SouthandEast","Africa_East"
"Area harvested","Asparagus","45.3333333333333","Mediterranean_SouthandEast","Africa_East"
"Area harvested","NA","NA","Pacific_Region_ausnz","Africa_East"
"Area harvested","Melons","54555","Pacific_Region_tropical","Africa_East"
"Area harvested","Coconuts","52778.3333333333","Pacific_Region_tropical","Africa_East"
"Area harvested","Taro","25371.3333333333","Pacific_Region_tropical","Africa_East"
"Area harvested","Cowpeas","5629.66666666667","Africa_Central","Africa_Indian_Ocean_Islands"
"Area harvested","Sorghum","2643.33333333333","Africa_Central","Africa_Indian_Ocean_Islands"
"Area harvested","Palm oil","1816.66666666667","Africa_Central","Africa_Indian_Ocean_Islands"
"Area harvested","Rice","1540706.66666667","Africa_Central","Africa_Indian_Ocean_Islands"
"Area harvested","Coffee","132328.333333333","Africa_Central","Africa_Indian_Ocean_Islands"
"Area harvested","Castor_oil","7196","Africa_East","Africa_Indian_Ocean_Islands"
"Area harvested","Cowpeas","5629.66666666667","Africa_East","Africa_Indian_Ocean_Islands"
"Area harvested","Sorghum","2643.33333333333","Africa_East","Africa_Indian_Ocean_Islands"
"Area harvested","Cottonseed oil","16333.3333333333","Africa_East","Africa_Indian_Ocean_Islands"
"Area harvested","Peas","16116.6666666667","Africa_East","Africa_Indian_Ocean_Islands"
"Area harvested","NA","NA","Africa_Indian_Ocean_Islands","Africa_Indian_Ocean_Islands"
"Area harvested","Cowpeas","5629.66666666667","Africa_Southern","Africa_Indian_Ocean_Islands"
"Area harvested","Sorghum","2643.33333333333","Africa_Southern","Africa_Indian_Ocean_Islands"
"Area harvested","Cottonseed oil","16333.3333333333","Africa_Southern","Africa_Indian_Ocean_Islands"
"Area harvested","Pumpkins & gourds","1479.66666666667","Africa_Southern","Africa_Indian_Ocean_Islands"
"Area harvested","Cowpeas","5629.66666666667","Africa_West","Africa_Indian_Ocean_Islands"
"Area harvested","Sorghum","2643.33333333333","Africa_West","Africa_Indian_Ocean_Islands"
"Area harvested","Palm oil","1816.66666666667","Africa_West","Africa_Indian_Ocean_Islands"
"Area harvested","Rice","1540706.66666667","Africa_West","Africa_Indian_Ocean_Islands"
"Area harvested","Coffee","132328.333333333","Africa_West","Africa_Indian_Ocean_Islands"
"Area harvested","Vanilla","61036.3333333333","America_Caribbean","Africa_Indian_Ocean_Islands"
"Area harvested","Chillies & peppers","2727.33333333334","America_Caribbean","Africa_Indian_Ocean_Islands"
"Area harvested","Cottonseed oil","16333.3333333333","America_Caribbean","Africa_Indian_Ocean_Islands"
"Area harvested","Beans","81167","America_Central_and_Mexico","Africa_Indian_Ocean_Islands"
"Area harvested","Vanilla","61036.3333333333","America_Central_and_Mexico","Africa_Indian_Ocean_Islands"
"Area harvested","Cassava","415865.333333333","America_Central_and_Mexico","Africa_Indian_Ocean_Islands"
"Area harvested","Mangoes_mangosteens_guavas","31766.3333333333","America_Central_and_Mexico","Africa_Indian_Ocean_Islands"
"Area harvested","Avocados","2926.33333333333","America_Central_and_Mexico","Africa_Indian_Ocean_Islands"
"Area harvested","Grapes","2510.66666666667","America_North","Africa_Indian_Ocean_Islands"
"Area harvested","Pumpkins & gourds","1479.66666666667","America_North","Africa_Indian_Ocean_Islands"
"Area harvested","Beans","81167","America_South_andean","Africa_Indian_Ocean_Islands"
"Area harvested","Tomatoes","5277","America_South_andean","Africa_Indian_Ocean_Islands"
"Area harvested","Potatoes","38495","America_South_andean","Africa_Indian_Ocean_Islands"
"Area harvested","Vanilla","61036.3333333333","America_South_tropical","Africa_Indian_Ocean_Islands"
"Area harvested","Groundnut","51870.6666666667","America_South_tropical","Africa_Indian_Ocean_Islands"
"Area harvested","Cashew","41865.3333333333","America_South_tropical","Africa_Indian_Ocean_Islands"
"Area harvested","Cassava","415865.333333333","America_South_tropical","Africa_Indian_Ocean_Islands"
"Area harvested","Mangoes_mangosteens_guavas","31766.3333333333","America_South_tropical","Africa_Indian_Ocean_Islands"
"Area harvested","Pistachios","516.666666666667","Asia_Central","Africa_Indian_Ocean_Islands"
"Area harvested","Wheat","4718","Asia_Central","Africa_Indian_Ocean_Islands"
"Area harvested","Apples","4519.33333333333","Asia_Central","Africa_Indian_Ocean_Islands"
"Area harvested","Garlic","422","Asia_Central","Africa_Indian_Ocean_Islands"
"Area harvested","Lettuce","317","Asia_Central","Africa_Indian_Ocean_Islands"
"Area harvested","Soybean","77.3333333333333","Asia_East","Africa_Indian_Ocean_Islands"
"Area harvested","Eggplants","549","Asia_East","Africa_Indian_Ocean_Islands"
"Area harvested","Apples","4519.33333333333","Asia_East","Africa_Indian_Ocean_Islands"
"Area harvested","Plums","451.666666666667","Asia_East","Africa_Indian_Ocean_Islands"
"Area harvested","Peaches & nectarines","3563.33333333333","Asia_East","Africa_Indian_Ocean_Islands"
"Area harvested","Castor_oil","7196","Asia_South","Africa_Indian_Ocean_Islands"
"Area harvested","Bananas & plantains","65789.6666666667","Asia_South","Africa_Indian_Ocean_Islands"
"Area harvested","Pepper","6385.66666666667","Asia_South","Africa_Indian_Ocean_Islands"
"Area harvested","Ginger","58.6666666666667","Asia_South","Africa_Indian_Ocean_Islands"
"Area harvested","Eggplants","549","Asia_South","Africa_Indian_Ocean_Islands"
"Area harvested","Bananas & plantains","65789.6666666667","Asia_Southeast","Africa_Indian_Ocean_Islands"
"Area harvested","Eggplants","549","Asia_Southeast","Africa_Indian_Ocean_Islands"
"Area harvested","Cloves","50144","Asia_Southeast","Africa_Indian_Ocean_Islands"
"Area harvested","Plums","451.666666666667","Asia_Southeast","Africa_Indian_Ocean_Islands"
"Area harvested","Taro","37295","Asia_Southeast","Africa_Indian_Ocean_Islands"
"Area harvested","Castor_oil","7196","Asia_West","Africa_Indian_Ocean_Islands"
"Area harvested","Pistachios","516.666666666667","Asia_West","Africa_Indian_Ocean_Islands"
"Area harvested","Wheat","4718","Asia_West","Africa_Indian_Ocean_Islands"
"Area harvested","Plums","451.666666666667","Asia_West","Africa_Indian_Ocean_Islands"
"Area harvested","Lettuce","317","Asia_West","Africa_Indian_Ocean_Islands"
"Area harvested","Apples","4519.33333333333","Europe_Eastern_north","Africa_Indian_Ocean_Islands"
"Area harvested","Lettuce","317","Europe_Eastern_north","Africa_Indian_Ocean_Islands"
"Area harvested","Apples","4519.33333333333","Europe_Eastern_south","Africa_Indian_Ocean_Islands"
"Area harvested","Plums","451.666666666667","Europe_Eastern_south","Africa_Indian_Ocean_Islands"
"Area harvested","Lettuce","317","Europe_Eastern_south","Africa_Indian_Ocean_Islands"
"Area harvested","Carrots & turnips","2857.33333333334","Europe_Eastern_south","Africa_Indian_Ocean_Islands"
"Area harvested","Leeks","19.6666666666667","Europe_Eastern_south","Africa_Indian_Ocean_Islands"
"Area harvested","Apples","4519.33333333333","Europe_Western_north","Africa_Indian_Ocean_Islands"
"Area harvested","Lettuce","317","Europe_Western_north","Africa_Indian_Ocean_Islands"
"Area harvested","Apples","4519.33333333333","Europe_Western_south","Africa_Indian_Ocean_Islands"
"Area harvested","Lettuce","317","Europe_Western_south","Africa_Indian_Ocean_Islands"
"Area harvested","Carrots & turnips","2857.33333333334","Europe_Western_south","Africa_Indian_Ocean_Islands"
"Area harvested","Leeks","19.6666666666667","Europe_Western_south","Africa_Indian_Ocean_Islands"
"Area harvested","Peas","16116.6666666667","Europe_Western_south","Africa_Indian_Ocean_Islands"
"Area harvested","Castor_oil","7196","Mediterranean_SouthandEast","Africa_Indian_Ocean_Islands"
